ISIN;Nom;Type;Anomalie;Gravite;Detail
BE0003893139;IMMO MOURY;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0003898187;SIPEF;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0160342011;COIL;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0165385973;MELEXIS;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0948608451;PHOTONIKE CAPITAL;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974256852;COLRUYT;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974258874;BEKAERT;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974263924;TEXAF;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974264930;AGEAS;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974265945;FLUXYS BELGIUM D;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974268972;BPOST;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974269012;ADC SIIC;Action;volatilite_extreme;alerte;volatilité 82 % (SRI 7) : liquidité à vérifier
BE0974269012;ADC SIIC;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974271034;VIOHALCO;Action;sharpe_aberrant;attention;Sharpe 3.15 : vérifier la régularité de la série
BE0974271034;VIOHALCO;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974272040;QRF;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974273055;CARE PROPERTY INV.;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974274061;KINEPOLIS GROUP;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974276082;ONTEX GROUP;Action;cours_perime;attention;dernier cours il y a 11 jours
BE0974282148;TINC;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974287196;IMMO MCC;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974288202;XIOR;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974293251;AB INBEV;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974294267;NYRSTAR;Action;volatilite_extreme;alerte;volatilité 82 % (SRI 7) : liquidité à vérifier
BE0974294267;NYRSTAR;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974298300;CANDELA INVEST;Action;volatilite_extreme;alerte;volatilité 204 % (SRI 7) : liquidité à vérifier
BE0974298300;CANDELA INVEST;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974299316;INVIBES ADVERTSING;Action;volatilite_extreme;alerte;volatilité 118 % (SRI 7) : liquidité à vérifier
BE0974299316;INVIBES ADVERTSING;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974303357;CENERGY;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974310428;X-FAB;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974313455;ECONOCOM GROUP;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974314461;BELYSSE GROUP;Action;cours_perime;attention;dernier cours il y a 10 jours
BE0974328602;METRICS IN BALANCE;Action;volatilite_nulle;alerte;volatilité 0.0 % : cours probablement figé
BE0974328602;METRICS IN BALANCE;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974340722;SEQUANA MEDICAL;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974358906;NYXOAH;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974363955;HYLORIS;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974371032;BANQUP GROUP;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974374069;INCLUSIO SA/NV;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974380124;EKOPAK;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974386188;BIOTALYS;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974400328;AZELIS GROUP;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974401334;WHITESTONE GROUP;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974409410;HOME INVEST BE.;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974413453;DEME GROUP;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974464977;SYENSQO;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974487192;OXURION;Action;volatilite_extreme;alerte;volatilité 106 % (SRI 7) : liquidité à vérifier
BE0974487192;OXURION;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974496284;OPTION;Action;volatilite_extreme;alerte;volatilité 103 % (SRI 7) : liquidité à vérifier
BE0974496284;OPTION;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974499312;ENERGYVISION;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974501331;MATERIALISE;Action;serie_courte;alerte;196 séances seulement : indicateurs peu fiables
BE0974501331;MATERIALISE;Action;cours_perime;attention;dernier cours il y a 8 jours
BE0974502347;FLORIDIENNE;Action;volatilite_extreme;alerte;volatilité 97 % (SRI 7) : liquidité à vérifier
BE0974502347;FLORIDIENNE;Action;cours_perime;attention;dernier cours il y a 8 jours
BE6333353298;BONYF;Action;cours_perime;attention;dernier cours il y a 8 jours
CY0101162119;SED ENERGY HOLDING;Action;cours_perime;attention;dernier cours il y a 8 jours
