ISIN;Nom;Symbole;Type;Marché(s);Devise;Pays_émission;PEA_indicatif;ESG_classification;Source;Date_MAJ
AN8068571086;SLB;1SLB;Action;Euronext Global Equity Market;EUR;AN;NON;;Euronext;2026-08-04
AT0000606306;Raiffeisen Bank;4RBI;Action;EuroTLX | Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000641352;CA Immobilien;1CAI;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000644505;Lenzing AG;1LNZ;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000652011;Erste Group Bank;4EBS;Action;EuroTLX | Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000720008;Telekom Austria;1TEA;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000730007;ANDRITZ;1ANDR;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000741053;EVN AG;1EVN;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000743059;OMV;4OMV;Action;EuroTLX | Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000746409;Verbund AG;4VER;Action;EuroTLX | Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000818802;DO & CO AG;1DOC;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000821103;UNIQA Insurance;1UQA;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000831706;Wienerberger AG;1WIE;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000908504;Vienna Insurance;1VIG;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000937503;voestalpine AG;4VOE;Action;EuroTLX | Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000938204;Mayr Melnhof K;1MMK;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000946652;SBO;1SBO;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000969985;AT&S Austria;1ATS;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000A21KS2;CPIEUROPE;1CPIE;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000A3EPA4;ams-OSRAM;1AMSO;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000APOST4;Oesterreichische;1POST;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AT0000BAWAG2;BAWAG Group;1BGA;Action;Euronext Global Equity Market;EUR;AT;OUI;;Euronext;2026-08-04
AU000000AON7;APOLLO MINERALS;ALAON;Action;Euronext Growth Paris;EUR;AU;NON;;Euronext;2026-08-04
BE0003008019;BQUE NAT. BELGIQUE;BNB;Action;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003463685;CUMULEX;CLEX;Action;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003470755;SOLVAY;4SOLBM;Action;EuroTLX | Euronext Brussels, Paris | Trading After Hours;EUR;BE;OUI;;Euronext;2026-08-04
BE0003519270;CO.BR.HA;COBH;Action;Euronext Growth Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003545531;SOLVAC NOM(RETAIL);SOLV;Action;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003555639;TESSENDERLO;TESB;Action;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003565737;KBC;2KBC;Action;Trading After Hours | Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003592038;CIE BOIS SAUVAGE;COMB;Action;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
