ISIN;Nom;Type;Symbole_marche;Devise;Cours;Date_cours;Perf_periode_pct;Volatilite_annualisee_pct;Drawdown_max_pct;Sharpe;Sortino;Asymetrie;Aplatissement_exces;Nb_seances;Source_cours;Date_MAJ
BE0003893139;IMMO MOURY;Action;IMMOU.XBRU;EUR;32.2;2026-08-25;-11.67;25.32;-24.27;-0.537;-0.619;;;255;EODHD;2026-09-05
BE0003898187;SIPEF;Action;SIP.XBRU;EUR;101.2;2026-08-25;36.33;20.38;-9.56;1.668;3.087;;;255;EODHD;2026-09-05
BE0160342011;COIL;Action;ALCOI.XPAR;EUR;1.19;2026-08-25;-20.13;19.66;-22.82;-1.118;-0.826;;;255;EODHD;2026-09-05
BE0165385973;MELEXIS;Action;MELE.XBRU;EUR;65.05;2026-08-25;-0.52;39.12;-26.09;-0.064;-0.098;;;255;EODHD;2026-09-05
BE0948608451;PHOTONIKE CAPITAL;Action;MLPHO.XPAR;EUR;0.102;2026-08-25;-31.08;65.24;-32.43;-0.504;-0.607;;;255;EODHD;2026-09-05
BE0974256852;COLRUYT;Action;COLR.XBRU;EUR;39.26;2026-08-25;8.02;20.35;-17.19;0.292;0.383;;;255;EODHD;2026-09-05
BE0974258874;BEKAERT;Action;BEKB.XBRU;EUR;37.95;2026-08-25;0.48;27.72;-16.96;-0.055;-0.062;;;255;EODHD;2026-09-05
BE0974263924;TEXAF;Action;TEXF.XBRU;EUR;41.4;2026-08-25;23.29;20.5;-9.09;1.029;1.805;;;255;EODHD;2026-09-05
BE0974264930;AGEAS;Action;AGS.XBRU;EUR;74.25;2026-08-25;28.18;16.21;-7.55;1.6;2.507;;;255;EODHD;2026-09-05
BE0974265945;FLUXYS BELGIUM D;Action;FLUX.XBRU;EUR;21.6;2026-08-25;12.36;28.02;-19.81;0.366;0.62;;;255;EODHD;2026-09-05
BE0974268972;BPOST;Action;BPOST.XBRU;EUR;1.302;2026-08-25;-38.87;34.5;-46.86;-1.178;-1.483;;;255;EODHD;2026-09-05
BE0974269012;ADC SIIC;Action;ALDV.XPAR;EUR;0.0757;2026-08-25;-13.98;82.06;-43.18;-0.193;-0.139;;;255;EODHD;2026-09-05
BE0974271034;VIOHALCO;Action;VIO.XBRU;EUR;17.36;2026-08-25;163.44;50.67;-25.94;3.146;5.516;;;255;EODHD;2026-09-05
BE0974272040;QRF;Action;QRF.XBRU;EUR;10.1;2026-08-25;4.01;18.53;-12.34;0.108;0.18;;;253;EODHD;2026-09-05
BE0974273055;CARE PROPERTY INV.;Action;CPINV.XBRU;EUR;12.22;2026-08-25;6.89;19.09;-14.94;0.253;0.332;;;255;EODHD;2026-09-05
BE0974274061;KINEPOLIS GROUP;Action;KIN.XBRU;EUR;46.3;2026-08-25;35.04;25.21;-30.53;1.298;2.645;;;255;EODHD;2026-09-05
BE0974276082;ONTEX GROUP;Action;ONTEX.XBRU;EUR;2.66;2026-08-25;-59.33;43.41;-67.79;-1.406;-1.621;;;255;EODHD;2026-09-05
BE0974282148;TINC;Action;TINC.XBRU;EUR;11.24;2026-08-28;12.38;11.88;-8.56;0.865;1.646;;;255;EODHD;2026-09-05
BE0974287196;IMMO MCC;Action;MCC.XBRU;EUR;535;2026-08-28;24.73;16.28;-8.04;1.383;1.87;;;255;EODHD;2026-09-05
BE0974288202;XIOR;Action;XIOR.XBRU;EUR;27.1;2026-08-28;-7.5;16.04;-14.55;-0.589;-0.896;;;255;EODHD;2026-09-05
BE0974293251;AB INBEV;Action;ABI.XBRU;EUR;68.28;2026-08-28;29.73;23.5;-14.3;1.169;2.153;;;255;EODHD;2026-09-05
BE0974294267;NYRSTAR;Action;NYR.XBRU;EUR;0.06;2026-08-28;-25.0;81.98;-51.33;-0.327;-0.519;;;255;EODHD;2026-09-05
BE0974298300;CANDELA INVEST;Action;CAND.XBRU;EUR;2.12;2026-08-28;6.0;204.06;-57.63;0.019;0.012;;;255;EODHD;2026-09-05
BE0974299316;INVIBES ADVERTSING;Action;ALINV.XPAR;EUR;1.77;2026-08-28;82.1;118.14;-47.05;0.671;1.094;;;255;EODHD;2026-09-05
BE0974303357;CENERGY;Action;CENER.XBRU;EUR;22.74;2026-08-28;113.88;48.39;-27.18;2.286;3.55;;;255;EODHD;2026-09-05
BE0974310428;X-FAB;Action;XFAB.XPAR;EUR;6.17;2026-08-28;-11.48;72.83;-53.07;-0.184;-0.299;;;255;EODHD;2026-09-05
BE0974313455;ECONOCOM GROUP;Action;ECONB.XBRU;EUR;1.485;2026-08-28;-14.76;32.13;-24.87;-0.518;-0.93;;;255;EODHD;2026-09-05
BE0974314461;BELYSSE GROUP;Action;BELYS.XBRU;EUR;0.498;2026-08-26;-51.18;51.43;-59.29;-1.053;-1.754;;;246;EODHD;2026-09-05
BE0974328602;METRICS IN BALANCE;Action;MLMIB.XPAR;EUR;0.033;2026-08-28;0.0;0.0;0.0;0.0;0.0;;;255;EODHD;2026-09-05
BE0974340722;SEQUANA MEDICAL;Action;SEQUA.XBRU;EUR;0.611;2026-08-28;-38.35;60.21;-56.21;-0.666;-1.031;;;255;EODHD;2026-09-05
BE0974358906;NYXOAH;Action;NYXH.XBRU;EUR;1.44;2026-08-28;-72.98;75.53;-80.77;-0.989;-1.136;;;255;EODHD;2026-09-05
BE0974363955;HYLORIS;Action;HYL.XBRU;EUR;4.42;2026-08-28;-32.0;46.37;-46.17;-0.729;-1.301;;;255;EODHD;2026-09-05
BE0974371032;BANQUP GROUP;Action;BANQ.XBRU;EUR;2.15;2026-08-28;-47.04;64.39;-64.08;-0.758;-1.28;;;255;EODHD;2026-09-05
BE0974374069;INCLUSIO SA/NV;Action;INCLU.XBRU;EUR;17.2;2026-08-28;-4.14;17.33;-11.35;-0.353;-0.624;;;254;EODHD;2026-09-05
BE0974380124;EKOPAK;Action;EKOP.XBRU;EUR;4;2026-08-28;-43.5;56.05;-51.41;-0.81;-1.324;;;254;EODHD;2026-09-05
BE0974386188;BIOTALYS;Action;BTLS.XBRU;EUR;2.51;2026-08-28;-44.59;68.78;-68.32;-0.676;-0.977;;;254;EODHD;2026-09-05
BE0974400328;AZELIS GROUP;Action;AZE.XBRU;EUR;12.27;2026-08-28;-1.36;38.07;-45.44;-0.088;-0.146;;;254;EODHD;2026-09-05
BE0974401334;WHITESTONE GROUP;Action;ROCK.XBRU;EUR;17.5;2026-08-28;37.8;34.73;-11.28;1.026;1.141;;;254;EODHD;2026-09-05
BE0974409410;HOME INVEST BE.;Action;HOMI.XBRU;EUR;18.96;2026-08-28;-4.12;17.91;-16.27;-0.341;-0.553;;;254;EODHD;2026-09-05
BE0974413453;DEME GROUP;Action;DEME.XBRU;EUR;178.2;2026-08-28;39.18;29.22;-18.65;1.266;2.07;;;254;EODHD;2026-09-05
BE0974464977;SYENSQO;Action;SYENS.XBRU;EUR;81.35;2026-08-28;9.4;46.3;-47.11;0.159;0.147;;;254;EODHD;2026-09-05
BE0974487192;OXURION;Action;OXUR.XBRU;EUR;0.0026;2026-08-28;-89.17;106.35;-91.06;-0.856;-1.55;;;254;EODHD;2026-09-05
BE0974496284;OPTION;Action;OPTI.XBRU;EUR;3.81;2026-08-28;-40.47;102.85;-72.79;-0.412;-0.757;;;254;EODHD;2026-09-05
BE0974499312;ENERGYVISION;Action;ENRGY.XBRU;EUR;15.14;2026-08-28;30.52;27.82;-27.84;1.02;1.622;;;254;EODHD;2026-09-05
BE0974501331;MATERIALISE;Action;MTLS.XBRU;EUR;6.25;2026-08-28;16.82;43.91;-17.76;0.461;0.88;;;196;EODHD;2026-09-05
BE0974502347;FLORIDIENNE;Action;FLOB.XBRU;EUR;57.5;2026-08-28;-91.19;97.05;-92.3;-0.965;-0.64;;;248;EODHD;2026-09-05
BE6333353298;BONYF;Action;MLBON.XPAR;EUR;2.48;2026-08-28;-80.78;67.45;-80.78;-1.225;-0.416;;;254;EODHD;2026-09-05
CY0101162119;SED ENERGY HOLDING;Action;ENH.XOSL;NOK;7.91;2026-08-28;1.71;27.6;-20.01;-0.009;-0.013;;;249;EODHD;2026-09-05
CY0101550917;S.D. STANDARD ETC;Action;SDSD.XOSL;NOK;1.8;2026-08-28;-1.91;16.5;-6.56;-0.239;-0.362;;;249;EODHD;2026-09-05
CY0102630916;PETROLIA;Action;PSE.XOSL;NOK;6.35;2026-08-28;33.68;47.65;-14.12;0.685;1.118;;;247;EODHD;2026-09-05
