ISIN;Nom;Symbole;Type;Marché(s);Devise;Pays_émission;PEA_indicatif;ESG_classification;Source;Date_MAJ
BE0003736502;KBC BUS.BEL.EQ.-SV;KBCB;OPCVM;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
BE0003751659;KBC BUS.EUR.EQ.-SV;KBEE;OPCVM;Euronext Brussels;EUR;BE;OUI;;Euronext;2026-08-04
IE000FW9A4J6;PLURIMA APUANO BON;PLAFBL;OPCVM;ATFund Instruments;EUR;IE;OUI;;Euronext;2026-08-04
IE000R9RIBW8;NJ INDO SMALL SDG;NJINDO;OPCVM;ATFund Instruments;EUR;IE;OUI;;Euronext;2026-08-04
IE000ROCQO77;NICHEJUNGLE KOREA;NJKOR;OPCVM;ATFund Instruments;EUR;IE;OUI;;Euronext;2026-08-04
IE000Y50XF14;NICHEJUNGLE JAPAN;NJJAP;OPCVM;ATFund Instruments;EUR;IE;OUI;;Euronext;2026-08-04
IE00BVDPXK98;PLURIMA STRATEGY;PPSPOF;OPCVM;ATFund Instruments;EUR;IE;OUI;;Euronext;2026-08-04
IT0005090870;ACOMEA BREVE TERM;ACABRT;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005090912;ACOMEA PERFORMANCE;ACAPER;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005091084;ACOMEA DINAMICA GL;ACAAGG;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005091100;ACOMEA GLOBALE;ACAGLO;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005091126;ACOMEA EMERGING Q2;ACAPEM;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005091183;ACOMEA ASIA PACIF;ACAAPA;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
IT0005091233;ACOMEA PM ESG;ACAITA;OPCVM;ATFund Instruments;EUR;IT;OUI;;Euronext;2026-08-04
