ISIN;Nom;Type;Score_global;Couverture_pct;Criteres_notes;Rang;Date_MAJ
FR0000061418;FIDUCIAL OFF.SOL.;Action;92.9;60.0;drawdown|performance|sharpe|sortino|volatilite;1;2026-09-05
BE0003898187;SIPEF;Action;91.3;60.0;drawdown|performance|sharpe|sortino|volatilite;2;2026-09-05
FR0010588079;FREY;Action;91.0;60.0;drawdown|performance|sharpe|sortino|volatilite;3;2026-09-05
BE0974264930;AGEAS;Action;90.8;60.0;drawdown|performance|sharpe|sortino|volatilite;4;2026-09-05
BE0974287196;IMMO MCC;Action;89.4;60.0;drawdown|performance|sharpe|sortino|volatilite;5;2026-09-05
FR0000064446;CATERING INTL SCES;Action;88.1;60.0;drawdown|performance|sharpe|sortino|volatilite;6;2026-09-05
BE0974263924;TEXAF;Action;86.3;60.0;drawdown|performance|sharpe|sortino|volatilite;7;2026-09-05
BE0974293251;AB INBEV;Action;86.3;60.0;drawdown|performance|sharpe|sortino|volatilite;8;2026-09-05
FR0000053043;ADVINI;Action;86.0;60.0;drawdown|performance|sharpe|sortino|volatilite;9;2026-09-05
FR0010717090;AMUNDI ETF EMU HDV;ETF;85.5;60.0;drawdown|performance|sharpe|sortino|volatilite;10;2026-09-05
FR0000074254;BOURSE DIRECT;Action;85.4;60.0;drawdown|performance|sharpe|sortino|volatilite;11;2026-09-05
FR0005057635;ARDOIN ST AMAND A;Action;85.2;60.0;drawdown|performance|sharpe|sortino|volatilite;12;2026-09-05
FR0000062101;FERM.CAS.MUN.CANNE;Action;84.9;60.0;drawdown|performance|sharpe|sortino|volatilite;13;2026-09-05
FR0010193979;CBO TERRITORIA;Action;84.6;60.0;drawdown|performance|sharpe|sortino|volatilite;14;2026-09-05
BE0974282148;TINC;Action;84.3;60.0;drawdown|performance|sharpe|sortino|volatilite;15;2026-09-05
FR0010483768;CRCAM BRIE PIC2CCI;Action;83.8;60.0;drawdown|performance|sharpe|sortino|volatilite;16;2026-09-05
