ISIN;Nom;Type;Volatilite_annualisee_pct;VEV_pct;SRI_estime;SRI_officiel;SRI_retenu;Bande;Methode;Fiabilite;Nb_seances;Source_SRI;Ecart_officiel;Date_MAJ
BE0003893139;IMMO MOURY;Action;25.32;25.32;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0003898187;SIPEF;Action;20.38;20.38;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0160342011;COIL;Action;19.66;19.66;4;;4;12 – 20 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0165385973;MELEXIS;Action;39.12;39.12;6;;6;30 – 80 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0948608451;PHOTONIKE CAPITAL;Action;65.24;65.24;6;;6;30 – 80 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974256852;COLRUYT;Action;20.35;20.35;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974258874;BEKAERT;Action;27.72;27.72;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974263924;TEXAF;Action;20.50;20.50;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974264930;AGEAS;Action;16.21;16.21;4;;4;12 – 20 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974265945;FLUXYS BELGIUM D;Action;28.02;28.02;5;;5;20 – 30 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
BE0974268972;BPOST;Action;34.50;34.50;6;;6;30 – 80 %;volatilite_annualisee;faible;255;calcul PEAFirst;une action n'est pas un PRIIPS : aucun SRI officiel n'existe, l'échelle est appliquée par analogie (255 séances seulement : une période courte peut masquer des phases de forte volatilité);2026-09-05
